VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
JN1AZ0CP5C,Stevens,Colville,WA,99114,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,7,153331706,POINT (-117.90454 48.54657),AVISTA CORP,53065950200
JTMABABA7P,Yakima,Yakima,WA,98903,2023,SUBARU,SOLTERRA,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,15,253586308,POINT (-120.71847 46.55029),PACIFICORP,53077001100
1N4AZ1CP1J,King,Seattle,WA,98122,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,37,333135022,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
5UX43EU09S,Kitsap,Poulsbo,WA,98370,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,23,267525737,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
3C3CFFGE5F,Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,2,474468501,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
1N4AZ0CP1F,Thurston,Olympia,WA,98502,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,22,226741833,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
WBY1Z2C59F,Snohomish,Lynnwood,WA,98037,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,32,208518453,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051602
1C4RJXR6XR,Snohomish,Snohomish,WA,98290,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,44,258162341,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052302
5YJ3E1EC8P,Whitman,Palouse,WA,99161,2023,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,9,233627642,POINT (-117.0768 46.91008),AVISTA CORP,53075000700
YV4BR0PKXJ,Kitsap,Kingston,WA,98346,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,23,316199201,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090202
1N4BZ0CP4G,Kitsap,Poulsbo,WA,98370,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,344423992,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
7SAYGDEF6R,Kitsap,Kingston,WA,98346,2024,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,23,265822448,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
KNDCE3LG8K,King,Seattle,WA,98117,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,36,4734390,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003302
KL8CK6S00G,Yakima,Yakima,WA,98903,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,14,332341264,POINT (-120.71847 46.55029),PACIFICORP,53077002803
5YJ3E1EC6L,Thurston,Lacey,WA,98503,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,22,273571518,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300
1C4JJXN62P,Kitsap,Port Orchard,WA,98367,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,35,238015025,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
KNDCE3LG9K,Snohomish,Lynnwood,WA,98087,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,21,8713050,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
WMW13DJ06N,Snohomish,Everett,WA,98208,2022,MINI,HARDTOP,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,44,169626376,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041605
WAUTPBFF5H,Snohomish,Edmonds,WA,98026,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,32,106075574,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050900
1G1FZ6S02L,Snohomish,Lynnwood,WA,98037,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,32,283206829,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051702
1C4JJXP6XN,Skagit,Mount Vernon,WA,98274,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,10,271716721,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057952600
1FMCU0EZ8N,Thurston,Olympia,WA,98506,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,22,195305568,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EB3J,Kitsap,Bremerton,WA,98311,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,23,136878675,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091701
JA4T5WA92R,Yakima,Yakima,WA,98908,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,14,269497000,POINT (-120.60199 46.59817),PACIFICORP,53077000902
