vin (1-10),county,city,state,postal code,model year,make,model,electric vehicle type,clean alternative fuel vehicle (cafv) eligibility,electric range,legislative district,dol vehicle id,vehicle location,electric utility,2020 census tract
JN1AZ0CP5C,Stevens,Colville,WA,99114,2012,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,73,7.0,153331706,POINT (-117.90454 48.54657),AVISTA CORP,53065950200
1N4AZ1CP1J,King,Seattle,WA,98122,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,37.0,333135022,POINT (-122.31009 47.60803),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007800
5UX43EU09S,Kitsap,Poulsbo,WA,98370,2025,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,23.0,267525737,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
3C3CFFGE5F,Thurston,Yelm,WA,98597,2015,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,2.0,474468501,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012422
1N4AZ0CP1F,Thurston,Olympia,WA,98502,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,22.0,226741833,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010600
WBY1Z2C59F,Snohomish,Lynnwood,WA,98037,2015,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,32.0,208518453,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051602
1C4RJXR6XR,Snohomish,Snohomish,WA,98290,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,44.0,258162341,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052302
YV4BR0PKXJ,Kitsap,Kingston,WA,98346,2018,VOLVO,XC90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,23.0,316199201,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090202
1N4BZ0CP4G,Kitsap,Poulsbo,WA,98370,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23.0,344423992,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090202
KNDCE3LG8K,King,Seattle,WA,98117,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,36.0,4734390,POINT (-122.38418 47.70044),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003302
KL8CK6S00G,Yakima,Yakima,WA,98903,2016,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,14.0,332341264,POINT (-120.71847 46.55029),PACIFICORP,53077002803
5YJ3E1EC6L,Thurston,Lacey,WA,98503,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,22.0,273571518,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011300
1C4JJXN62P,Kitsap,Port Orchard,WA,98367,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,35.0,238015025,POINT (-122.68471 47.50524),PUGET SOUND ENERGY INC,53035092901
KNDCE3LG9K,Snohomish,Lynnwood,WA,98087,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,21.0,8713050,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
WAUTPBFF5H,Snohomish,Edmonds,WA,98026,2017,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,32.0,106075574,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050900
1G1FZ6S02L,Snohomish,Lynnwood,WA,98037,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,32.0,283206829,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051702
1C4JJXP6XN,Skagit,Mount Vernon,WA,98274,2022,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,10.0,271716721,POINT (-122.32295 48.4152),PUGET SOUND ENERGY INC,53057952600
1FMCU0EZ8N,Thurston,Olympia,WA,98506,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,22.0,195305568,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJ3E1EB3J,Kitsap,Bremerton,WA,98311,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,23.0,136878675,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091701
JA4T5WA92R,Yakima,Yakima,WA,98908,2024,MITSUBISHI,OUTLANDER,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,14.0,269497000,POINT (-120.60199 46.59817),PACIFICORP,53077000902
5YJ3E1EB1J,King,Kirkland,WA,98034,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,1.0,474583259,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022300
1N4AZ1CP4J,King,Seattle,WA,98133,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,32.0,303128633,POINT (-122.33364 47.73709),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033000402
5YJ3E1EA3J,Kittitas,Ellensburg,WA,98926,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,13.0,344096189,POINT (-120.54872 46.99703),PUGET SOUND ENERGY INC,53037975300
5UXTA6C06M,Snohomish,Bothell,WA,98021,2021,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,1.0,170396957,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051922
1G1FY6S01L,Thurston,Lacey,WA,98503,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,259,2.0,265623928,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011628
5YJYGDEE0L,Snohomish,Lynnwood,WA,98087,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,21.0,124395995,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061051803
5YJSA1E28G,Snohomish,Lynnwood,WA,98037,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,21.0,341396905,POINT (-122.27734 47.83785),PUGET SOUND ENERGY INC,53061051601
1G1RB6S52H,Skagit,Bow,WA,98232,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,40.0,349234077,POINT (-122.397 48.56045),PUGET SOUND ENERGY INC,53057950802
1N4BZ1CP8K,Skagit,Mount Vernon,WA,98273,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,10.0,109851010,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952700
5YJXCAE24G,King,Kirkland,WA,98034,2016,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,200,45.0,4735286,POINT (-122.22901 47.72201),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021904
5YJ3E1EAXK,Snohomish,Arlington,WA,98223,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,39.0,160628149,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061053505
1FMCU0LZXN,Yakima,Yakima,WA,98908,2022,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,14.0,232828879,POINT (-120.60199 46.59817),PACIFICORP,53077000401
YV4BR0DL4L,Thurston,Olympia,WA,98516,2020,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,18,22.0,6337467,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012225
1G1FX6S01H,Island,Freeland,WA,98249,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,10.0,143360472,POINT (-122.52664 48.00956),PUGET SOUND ENERGY INC,53029971900
5UXKT0C51J,Yakima,Wapato,WA,98951,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,15.0,282553729,POINT (-120.42083 46.44779),PACIFICORP,53077940007
1N4BZ1CP4K,Snohomish,Marysville,WA,98270,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,44.0,2384007,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052711
5YJ3E1EB0L,Snohomish,Snohomish,WA,98290,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,39.0,4653827,POINT (-122.09305 47.91265),PUGET SOUND ENERGY INC,53061052301
5YJ3E1EAXJ,King,Seattle,WA,98103,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,43.0,280224899,POINT (-122.35436 47.67596),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033004902
YV4BR0DLXK,Kitsap,Bainbridge Island,WA,98110,2019,VOLVO,XC60,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,23.0,127213362,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035090901
5YJ3E1EA2J,Kitsap,Bremerton,WA,98312,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,35.0,281249692,POINT (-122.65223 47.57192),PUGET SOUND ENERGY INC,53035080700
YH4K14AA0C,Kitsap,Bainbridge Island,WA,98110,2012,FISKER,KARMA,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,23.0,196625971,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035091002
5YJSA1E26G,Island,Clinton,WA,98236,2016,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,10.0,124200996,POINT (-122.35803 47.9796),PUGET SOUND ENERGY INC,53029972000
WBY2Z6C57K,Thurston,Tumwater,WA,98512,2019,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,22.0,229495584,POINT (-123.04078 46.94792),PUGET SOUND ENERGY INC,53067010910
KM8K33AG5L,Skagit,Mount Vernon,WA,98273,2020,HYUNDAI,KONA,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,258,40.0,4878891,POINT (-122.33891 48.41644),PUGET SOUND ENERGY INC,53057952500
1C4RJYB68P,Yakima,Union Gap,WA,98903,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,15.0,245749206,POINT (-120.71847 46.55029),PACIFICORP,53077001400
5UXTS1C08M,King,Seattle,WA,98144,2021,BMW,X3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,17,37.0,209729166,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010002
5YJ3E1EA3J,King,Seattle,WA,98136,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,34.0,336434822,POINT (-122.38415 47.53755),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033010602
WA1LAAGE7M,Kitsap,Bainbridge Island,WA,98110,2021,AUDI,E-TRON,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,222,23.0,287453960,POINT (-122.521 47.62732),PUGET SOUND ENERGY INC,53035091002
1G1FZ6S07K,Snohomish,Lynnwood,WA,98087,2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,21.0,477813668,POINT (-122.27981 47.85727),PUGET SOUND ENERGY INC,53061041703
5YJ3E1EBXK,Walla Walla,Walla Walla,WA,99362,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,16.0,255013832,POINT (-118.34261 46.07068),PACIFICORP,53071920801
3FA6P0PU5F,Snohomish,Everett,WA,98203,2015,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,38.0,9620047,POINT (-122.23019 47.94949),PUGET SOUND ENERGY INC,53061041201
